Text name: ./res/vae/2/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=5, gpu=0, h_dim=[256], id=2, k=10, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='.', sig_max=1, wd=0.0001, z_dim=128)
[OOD] recon avg: [2.104] kl_div avg: [398.553]
epoch: [53/100] loss: [3.700] train_loss:[3.9442] test_loss: [5.1442]
[ID] recon avg: [5.144] kl_div avg: [523.784]
[OOD] recon avg: [2.068] kl_div avg: [400.803]
epoch: [54/100] loss: [3.663] train_loss:[4.0154] test_loss: [5.1585]
[ID] recon avg: [5.159] kl_div avg: [526.011]
[OOD] recon avg: [2.039] kl_div avg: [402.630]
epoch: [55/100] loss: [3.656] train_loss:[4.1448] test_loss: [5.2398]
[ID] recon avg: [5.240] kl_div avg: [521.266]
[OOD] recon avg: [2.079] kl_div avg: [399.721]
epoch: [56/100] loss: [3.594] train_loss:[4.0308] test_loss: [5.2406]
[ID] recon avg: [5.241] kl_div avg: [522.386]
[OOD] recon avg: [2.063] kl_div avg: [400.624]
epoch: [57/100] loss: [3.532] train_loss:[4.1628] test_loss: [5.2584]
[ID] recon avg: [5.258] kl_div avg: [523.263]
[OOD] recon avg: [1.996] kl_div avg: [401.415]
epoch: [58/100] loss: [3.532] train_loss:[4.0505] test_loss: [5.1764]
[ID] recon avg: [5.176] kl_div avg: [524.968]
[OOD] recon avg: [2.029] kl_div avg: [402.043]
epoch: [59/100] loss: [3.504] train_loss:[3.9142] test_loss: [5.0043]
[ID] recon avg: [5.004] kl_div avg: [527.064]
[OOD] recon avg: [1.973] kl_div avg: [402.640]
epoch: [60/100] loss: [3.469] train_loss:[3.8734] test_loss: [4.9762]
[ID] recon avg: [4.976] kl_div avg: [525.062]
[OOD] recon avg: [1.983] kl_div avg: [402.623]
epoch: [61/100] loss: [3.470] train_loss:[3.7727] test_loss: [4.8676]
[ID] recon avg: [4.868] kl_div avg: [523.392]
[OOD] recon avg: [1.959] kl_div avg: [401.046]
epoch: [62/100] loss: [3.420] train_loss:[3.7557] test_loss: [4.8490]
[ID] recon avg: [4.849] kl_div avg: [526.623]
[OOD] recon avg: [1.982] kl_div avg: [404.200]
epoch: [63/100] loss: [3.371] train_loss:[3.7821] test_loss: [4.8975]
[ID] recon avg: [4.898] kl_div avg: [528.102]
[OOD] recon avg: [1.940] kl_div avg: [404.446]
epoch: [64/100] loss: [3.380] train_loss:[3.6906] test_loss: [4.7927]
[ID] recon avg: [4.793] kl_div avg: [525.675]
[OOD] recon avg: [1.880] kl_div avg: [402.717]
epoch: [65/100] loss: [3.340] train_loss:[3.6567] test_loss: [4.7306]
[ID] recon avg: [4.731] kl_div avg: [527.498]
[OOD] recon avg: [1.917] kl_div avg: [404.582]
epoch: [66/100] loss: [3.298] train_loss:[3.8531] test_loss: [4.8758]
[ID] recon avg: [4.876] kl_div avg: [526.714]
[OOD] recon avg: [1.882] kl_div avg: [403.354]
epoch: [67/100] loss: [3.367] train_loss:[3.8893] test_loss: [4.9370]
[ID] recon avg: [4.937] kl_div avg: [524.807]
[OOD] recon avg: [1.886] kl_div avg: [401.976]
epoch: [68/100] loss: [3.275] train_loss:[3.4059] test_loss: [4.5371]
[ID] recon avg: [4.537] kl_div avg: [533.113]
[OOD] recon avg: [1.879] kl_div avg: [408.925]
epoch: [69/100] loss: [3.246] train_loss:[3.9433] test_loss: [4.9281]
[ID] recon avg: [4.928] kl_div avg: [527.936]
[OOD] recon avg: [1.884] kl_div avg: [404.663]
epoch: [70/100] loss: [3.266] train_loss:[3.9218] test_loss: [4.9237]
[ID] recon avg: [4.924] kl_div avg: [528.002]
[OOD] recon avg: [1.868] kl_div avg: [405.335]
epoch: [71/100] loss: [3.220] train_loss:[3.7775] test_loss: [4.8419]
[ID] recon avg: [4.842] kl_div avg: [526.416]
[OOD] recon avg: [1.874] kl_div avg: [403.333]
epoch: [72/100] loss: [3.184] train_loss:[3.5861] test_loss: [4.7080]
[ID] recon avg: [4.708] kl_div avg: [525.718]
[OOD] recon avg: [1.794] kl_div avg: [403.708]
epoch: [73/100] loss: [3.081] train_loss:[3.6769] test_loss: [4.7142]
[ID] recon avg: [4.714] kl_div avg: [527.249]
[OOD] recon avg: [1.818] kl_div avg: [403.151]
epoch: [74/100] loss: [3.146] train_loss:[4.0851] test_loss: [5.0682]
[ID] recon avg: [5.068] kl_div avg: [523.824]
[OOD] recon avg: [1.837] kl_div avg: [401.796]
epoch: [75/100] loss: [3.156] train_loss:[3.4345] test_loss: [4.5089]
[ID] recon avg: [4.509] kl_div avg: [531.030]
[OOD] recon avg: [1.779] kl_div avg: [407.128]
epoch: [76/100] loss: [3.072] train_loss:[3.8138] test_loss: [4.8603]
[ID] recon avg: [4.860] kl_div avg: [526.436]
[OOD] recon avg: [1.857] kl_div avg: [404.597]
epoch: [77/100] loss: [3.114] train_loss:[3.5633] test_loss: [4.5832]
[ID] recon avg: [4.583] kl_div avg: [530.651]
[OOD] recon avg: [1.763] kl_div avg: [408.116]
epoch: [78/100] loss: [3.084] train_loss:[3.4476] test_loss: [4.5037]
[ID] recon avg: [4.504] kl_div avg: [527.261]
[OOD] recon avg: [1.759] kl_div avg: [404.742]
epoch: [79/100] loss: [3.075] train_loss:[3.2600] test_loss: [4.2704]
[ID] recon avg: [4.270] kl_div avg: [524.760]
[OOD] recon avg: [1.701] kl_div avg: [403.932]
epoch: [80/100] loss: [3.038] train_loss:[3.4720] test_loss: [4.5740]
[ID] recon avg: [4.574] kl_div avg: [526.842]
[OOD] recon avg: [1.726] kl_div avg: [406.171]
epoch: [81/100] loss: [2.995] train_loss:[3.4609] test_loss: [4.4981]
[ID] recon avg: [4.498] kl_div avg: [530.862]
[OOD] recon avg: [1.713] kl_div avg: [409.444]
epoch: [82/100] loss: [3.037] train_loss:[3.3938] test_loss: [4.4396]
[ID] recon avg: [4.440] kl_div avg: [529.965]
[OOD] recon avg: [1.690] kl_div avg: [408.443]
epoch: [83/100] loss: [3.053] train_loss:[3.6607] test_loss: [4.6754]
[ID] recon avg: [4.675] kl_div avg: [525.810]
[OOD] recon avg: [1.738] kl_div avg: [404.949]
epoch: [84/100] loss: [2.959] train_loss:[3.5699] test_loss: [4.5997]
[ID] recon avg: [4.600] kl_div avg: [526.538]
[OOD] recon avg: [1.682] kl_div avg: [406.566]
epoch: [85/100] loss: [2.993] train_loss:[3.2870] test_loss: [4.2487]
[ID] recon avg: [4.249] kl_div avg: [527.156]
[OOD] recon avg: [1.662] kl_div avg: [406.062]
epoch: [86/100] loss: [2.930] train_loss:[3.3142] test_loss: [4.3373]
[ID] recon avg: [4.337] kl_div avg: [525.404]
[OOD] recon avg: [1.640] kl_div avg: [404.786]
epoch: [87/100] loss: [2.940] train_loss:[3.3164] test_loss: [4.3592]
[ID] recon avg: [4.359] kl_div avg: [528.697]
[OOD] recon avg: [1.653] kl_div avg: [407.527]
epoch: [88/100] loss: [2.880] train_loss:[3.2948] test_loss: [4.3263]
[ID] recon avg: [4.326] kl_div avg: [531.910]
[OOD] recon avg: [1.663] kl_div avg: [409.647]
epoch: [89/100] loss: [2.846] train_loss:[3.0832] test_loss: [4.0876]
[ID] recon avg: [4.088] kl_div avg: [528.619]
[OOD] recon avg: [1.611] kl_div avg: [407.343]
epoch: [90/100] loss: [2.860] train_loss:[3.4829] test_loss: [4.4845]
[ID] recon avg: [4.485] kl_div avg: [521.454]
[OOD] recon avg: [1.610] kl_div avg: [402.473]
epoch: [91/100] loss: [2.900] train_loss:[3.2992] test_loss: [4.2759]
[ID] recon avg: [4.276] kl_div avg: [530.782]
[OOD] recon avg: [1.605] kl_div avg: [408.014]
epoch: [92/100] loss: [2.869] train_loss:[3.3830] test_loss: [4.3378]
