Text name: ./res/vae/21/log.txt
Namespace(batch_size=128, dropout=0.25, epoch=100, exp_case=[1, 2, 3], frame=1, gpu=0, h_dim=[128], id=21, k=10, light=True, lr=0.001, lr_rate=0.9, lr_step=50, mode='vae', norm=1, root='./dataset', sig_max=1, wd=0.0001, z_dim=32)
epoch: [46/100] loss: [0.195] train_loss:[0.2228] test_loss: [0.2656]
[ID] recon avg: [0.266] kl_div avg: [177.618]
[OOD] recon avg: [0.296] kl_div avg: [134.911]
epoch: [47/100] loss: [0.192] train_loss:[0.2183] test_loss: [0.2729]
[ID] recon avg: [0.273] kl_div avg: [177.389]
[OOD] recon avg: [0.284] kl_div avg: [134.817]
epoch: [48/100] loss: [0.189] train_loss:[0.2102] test_loss: [0.2528]
[ID] recon avg: [0.253] kl_div avg: [177.488]
[OOD] recon avg: [0.282] kl_div avg: [135.265]
epoch: [49/100] loss: [0.185] train_loss:[0.2100] test_loss: [0.2572]
[ID] recon avg: [0.257] kl_div avg: [176.898]
[OOD] recon avg: [0.281] kl_div avg: [134.959]
epoch: [50/100] loss: [0.171] train_loss:[0.1752] test_loss: [0.2183]
[ID] recon avg: [0.218] kl_div avg: [178.013]
[OOD] recon avg: [0.272] kl_div avg: [136.010]
epoch: [51/100] loss: [0.166] train_loss:[0.1819] test_loss: [0.2250]
[ID] recon avg: [0.225] kl_div avg: [177.521]
[OOD] recon avg: [0.265] kl_div avg: [135.932]
epoch: [52/100] loss: [0.163] train_loss:[0.1716] test_loss: [0.2159]
[ID] recon avg: [0.216] kl_div avg: [176.831]
[OOD] recon avg: [0.267] kl_div avg: [135.569]
epoch: [53/100] loss: [0.160] train_loss:[0.1766] test_loss: [0.2181]
[ID] recon avg: [0.218] kl_div avg: [177.600]
[OOD] recon avg: [0.258] kl_div avg: [136.418]
epoch: [54/100] loss: [0.156] train_loss:[0.1667] test_loss: [0.2092]
[ID] recon avg: [0.209] kl_div avg: [176.628]
[OOD] recon avg: [0.257] kl_div avg: [135.789]
epoch: [55/100] loss: [0.154] train_loss:[0.1700] test_loss: [0.2061]
[ID] recon avg: [0.206] kl_div avg: [177.127]
[OOD] recon avg: [0.251] kl_div avg: [136.334]
epoch: [56/100] loss: [0.151] train_loss:[0.1646] test_loss: [0.2083]
[ID] recon avg: [0.208] kl_div avg: [176.660]
[OOD] recon avg: [0.250] kl_div avg: [136.222]
epoch: [57/100] loss: [0.150] train_loss:[0.1605] test_loss: [0.1969]
[ID] recon avg: [0.197] kl_div avg: [176.364]
[OOD] recon avg: [0.244] kl_div avg: [136.314]
epoch: [58/100] loss: [0.146] train_loss:[0.1622] test_loss: [0.2063]
[ID] recon avg: [0.206] kl_div avg: [175.414]
[OOD] recon avg: [0.243] kl_div avg: [135.581]
epoch: [59/100] loss: [0.143] train_loss:[0.1521] test_loss: [0.1932]
[ID] recon avg: [0.193] kl_div avg: [176.823]
[OOD] recon avg: [0.240] kl_div avg: [136.901]
epoch: [60/100] loss: [0.141] train_loss:[0.1566] test_loss: [0.1979]
[ID] recon avg: [0.198] kl_div avg: [175.357]
[OOD] recon avg: [0.238] kl_div avg: [135.763]
epoch: [61/100] loss: [0.141] train_loss:[0.1532] test_loss: [0.1912]
[ID] recon avg: [0.191] kl_div avg: [175.926]
[OOD] recon avg: [0.235] kl_div avg: [136.468]
epoch: [62/100] loss: [0.137] train_loss:[0.1483] test_loss: [0.1882]
[ID] recon avg: [0.188] kl_div avg: [175.064]
[OOD] recon avg: [0.228] kl_div avg: [136.040]
epoch: [63/100] loss: [0.134] train_loss:[0.1438] test_loss: [0.1802]
[ID] recon avg: [0.180] kl_div avg: [176.366]
[OOD] recon avg: [0.226] kl_div avg: [137.314]
epoch: [64/100] loss: [0.131] train_loss:[0.1484] test_loss: [0.1904]
[ID] recon avg: [0.190] kl_div avg: [175.098]
[OOD] recon avg: [0.225] kl_div avg: [136.283]
epoch: [65/100] loss: [0.130] train_loss:[0.1446] test_loss: [0.1787]
[ID] recon avg: [0.179] kl_div avg: [176.666]
[OOD] recon avg: [0.222] kl_div avg: [138.026]
epoch: [66/100] loss: [0.128] train_loss:[0.1428] test_loss: [0.1809]
[ID] recon avg: [0.181] kl_div avg: [175.117]
[OOD] recon avg: [0.216] kl_div avg: [136.787]
epoch: [67/100] loss: [0.127] train_loss:[0.1467] test_loss: [0.1800]
[ID] recon avg: [0.180] kl_div avg: [176.270]
[OOD] recon avg: [0.219] kl_div avg: [137.912]
epoch: [68/100] loss: [0.125] train_loss:[0.1418] test_loss: [0.1780]
[ID] recon avg: [0.178] kl_div avg: [175.599]
[OOD] recon avg: [0.215] kl_div avg: [137.628]
epoch: [69/100] loss: [0.122] train_loss:[0.1409] test_loss: [0.1730]
[ID] recon avg: [0.173] kl_div avg: [175.781]
[OOD] recon avg: [0.213] kl_div avg: [137.773]
epoch: [70/100] loss: [0.122] train_loss:[0.1528] test_loss: [0.1947]
[ID] recon avg: [0.195] kl_div avg: [174.344]
[OOD] recon avg: [0.210] kl_div avg: [136.772]
epoch: [71/100] loss: [0.124] train_loss:[0.1350] test_loss: [0.1680]
[ID] recon avg: [0.168] kl_div avg: [175.528]
[OOD] recon avg: [0.207] kl_div avg: [138.013]
epoch: [72/100] loss: [0.118] train_loss:[0.1394] test_loss: [0.1766]
[ID] recon avg: [0.177] kl_div avg: [174.405]
[OOD] recon avg: [0.205] kl_div avg: [137.142]
epoch: [73/100] loss: [0.117] train_loss:[0.1319] test_loss: [0.1664]
[ID] recon avg: [0.166] kl_div avg: [175.781]
[OOD] recon avg: [0.202] kl_div avg: [138.542]
epoch: [74/100] loss: [0.115] train_loss:[0.1373] test_loss: [0.1719]
[ID] recon avg: [0.172] kl_div avg: [174.865]
[OOD] recon avg: [0.201] kl_div avg: [137.766]
epoch: [75/100] loss: [0.116] train_loss:[0.1298] test_loss: [0.1621]
[ID] recon avg: [0.162] kl_div avg: [175.929]
[OOD] recon avg: [0.194] kl_div avg: [138.912]
epoch: [76/100] loss: [0.112] train_loss:[0.1395] test_loss: [0.1758]
[ID] recon avg: [0.176] kl_div avg: [174.487]
[OOD] recon avg: [0.198] kl_div avg: [137.742]
epoch: [77/100] loss: [0.112] train_loss:[0.1283] test_loss: [0.1601]
[ID] recon avg: [0.160] kl_div avg: [175.560]
[OOD] recon avg: [0.189] kl_div avg: [138.807]
epoch: [78/100] loss: [0.110] train_loss:[0.1395] test_loss: [0.1734]
[ID] recon avg: [0.173] kl_div avg: [174.896]
[OOD] recon avg: [0.190] kl_div avg: [138.357]
epoch: [79/100] loss: [0.111] train_loss:[0.1242] test_loss: [0.1543]
[ID] recon avg: [0.154] kl_div avg: [175.815]
[OOD] recon avg: [0.190] kl_div avg: [139.365]
epoch: [80/100] loss: [0.106] train_loss:[0.1317] test_loss: [0.1639]
[ID] recon avg: [0.164] kl_div avg: [173.790]
[OOD] recon avg: [0.183] kl_div avg: [137.889]
epoch: [81/100] loss: [0.108] train_loss:[0.1219] test_loss: [0.1495]
[ID] recon avg: [0.150] kl_div avg: [175.344]
[OOD] recon avg: [0.182] kl_div avg: [139.274]
epoch: [82/100] loss: [0.105] train_loss:[0.1252] test_loss: [0.1563]
[ID] recon avg: [0.156] kl_div avg: [174.674]
[OOD] recon avg: [0.178] kl_div avg: [138.720]
epoch: [83/100] loss: [0.104] train_loss:[0.1181] test_loss: [0.1449]
[ID] recon avg: [0.145] kl_div avg: [175.455]
[OOD] recon avg: [0.175] kl_div avg: [139.407]
epoch: [84/100] loss: [0.102] train_loss:[0.1197] test_loss: [0.1464]
[ID] recon avg: [0.146] kl_div avg: [173.923]
[OOD] recon avg: [0.172] kl_div avg: [138.418]
epoch: [85/100] loss: [0.102] train_loss:[0.1214] test_loss: [0.1485]
